SNAPSHOT 1 — BACKEND ROUTE MAP
METHOD | FULL PATH | FILE:LINE | CONTROLLER FUNCTION | FUNCTION EXISTS? (Y/N)
POST   | /infrastructure/security/:id/scan | \backend\src\modules\admin\routes\supra-admin\system.js:225 | res | N/A 
GET    | /tenants | \backend\src\modules\admin\routes\supra-admin\tenants.js:17 | res | N/A ⚠️ DUPLICATE
GET    | /tenants/:id | \backend\src\modules\admin\routes\supra-admin\tenants.js:51 | res | N/A 
PUT    | /tenants/:id | \backend\src\modules\admin\routes\supra-admin\tenants.js:63 | res | N/A 
PUT    | /tenants/:id/status | \backend\src\modules\admin\routes\supra-admin\tenants.js:84 | res | N/A 
DELETE | /tenants/cancelled | \backend\src\modules\admin\routes\supra-admin\tenants.js:103 | res | N/A 
DELETE | /tenants/bulk | \backend\src\modules\admin\routes\supra-admin\tenants.js:129 | res | N/A 
DELETE | /tenants/:id | \backend\src\modules\admin\routes\supra-admin\tenants.js:153 | res | N/A 
PUT    | /tenants/:id/password | \backend\src\modules\admin\routes\supra-admin\tenants.js:174 | res | N/A 
GET    | /admins | \backend\src\modules\admin\routes\supra-admin\users.js:18 | res | N/A 
POST   | /admins | \backend\src\modules\admin\routes\supra-admin\users.js:28 | Inline/Arrow Function | N/A 
GET    | /portal-users | \backend\src\modules\admin\routes\supra-admin\users.js:66 | res | N/A 
GET    | /users | \backend\src\modules\admin\routes\supra-admin\users.js:83 | res | N/A 
GET    | /users/:id | \backend\src\modules\admin\routes\supra-admin\users.js:99 | res | N/A 
POST   | /users | \backend\src\modules\admin\routes\supra-admin\users.js:110 | Inline/Arrow Function | N/A 
PATCH  | /users/:id | \backend\src\modules\admin\routes\supra-admin\users.js:143 | Inline/Arrow Function | N/A 
DELETE | /users/:id | \backend\src\modules\admin\routes\supra-admin\users.js:179 | res | N/A 
PATCH  | /users/:id/assign-portal-responsibility | \backend\src\modules\admin\routes\supra-admin\users.js:194 | res | N/A 
PATCH  | /users/:id/remove-portal-responsibility | \backend\src\modules\admin\routes\supra-admin\users.js:228 | res | N/A 
POST   | /users/debug-verify | \backend\src\modules\admin\routes\supra-admin\users.js:245 | res | N/A 
GET    | / | \backend\src\modules\admin\routes\supraReports.js:11 | res | N/A ⚠️ DUPLICATE
GET    | /stats | \backend\src\modules\admin\routes\supraReports.js:86 | res | N/A 
POST   | /generate | \backend\src\modules\admin\routes\supraReports.js:121 | res | N/A 
GET    | /:reportId/status | \backend\src\modules\admin\routes\supraReports.js:156 | res | N/A 
GET    | /:reportId/download | \backend\src\modules\admin\routes\supraReports.js:196 | res | N/A 
GET    | /:reportId/file | \backend\src\modules\admin\routes\supraReports.js:226 | res | N/A 
POST   | /:reportId/schedule | \backend\src\modules\admin\routes\supraReports.js:255 | res | N/A 
DELETE | /:reportId/schedule/:scheduleId | \backend\src\modules\admin\routes\supraReports.js:294 | res | N/A 
GET    | /sessions | \backend\src\modules\admin\routes\supraSessions.js:11 | res | N/A 
GET    | /department-access | \backend\src\modules\admin\routes\supraSessions.js:108 | res | N/A 
GET    | /departments | \backend\src\modules\admin\routes\supraSessions.js:173 | res | N/A ⚠️ DUPLICATE
GET    | /analytics/sessions | \backend\src\modules\admin\routes\supraSessions.js:241 | res | N/A 
GET    | /analytics/department-access | \backend\src\modules\admin\routes\supraSessions.js:294 | res | N/A 
DELETE | /sessions/:sessionId | \backend\src\modules\admin\routes\supraSessions.js:346 | res | N/A 
POST   | /sessions/bulk-terminate | \backend\src\modules\admin\routes\supraSessions.js:365 | res | N/A 
POST   | /department-access | \backend\src\modules\admin\routes\supraSessions.js:392 | res | N/A 
POST   | /department-access/:accessId/revoke | \backend\src\modules\admin\routes\supraSessions.js:420 | res | N/A 
POST   | /departments | \backend\src\modules\admin\routes\supraSessions.js:442 | res | N/A ⚠️ DUPLICATE
GET    | /db-status | \backend\src\modules\auth\routes\authentication.js:66 | res | N/A 
POST   | /logout | \backend\src\modules\auth\routes\authentication.js:351 | res | N/A 
GET    | /token-info | \backend\src\modules\auth\routes\authentication.js:406 | res | N/A 
GET    | /me | \backend\src\modules\auth\routes\authentication.js:437 | res | N/A 
GET    | /invite/accept | \backend\src\modules\auth\routes\authentication.js:617 | res | N/A 
GET    | /sessions | \backend\src\modules\auth\routes\sessions.js:24 | res | N/A ⚠️ DUPLICATE
GET    | /sessions/:id | \backend\src\modules\auth\routes\sessions.js:76 | res | N/A 
DELETE | /sessions/:id/department-access/:department | \backend\src\modules\auth\routes\sessions.js:149 | res | N/A 
GET    | /department-access | \backend\src\modules\auth\routes\sessions.js:168 | res | N/A ⚠️ DUPLICATE
GET    | /departments | \backend\src\modules\auth\routes\sessions.js:358 | res | N/A ⚠️ DUPLICATE
PUT    | /departments/:id | \backend\src\modules\auth\routes\sessions.js:430 | res | N/A ⚠️ DUPLICATE
GET    | /analytics/sessions | \backend\src\modules\auth\routes\sessions.js:458 | res | N/A ⚠️ DUPLICATE
GET    | /analytics/department-access | \backend\src\modules\auth\routes\sessions.js:530 | res | N/A ⚠️ DUPLICATE
POST   | /cleanup/expired-sessions | \backend\src\modules\auth\routes\sessions.js:550 | res | N/A 
POST   | /cleanup/expired-access | \backend\src\modules\auth\routes\sessions.js:564 | res | N/A 
GET    | /tenant-departments | \backend\src\modules\auth\routes\sessions.js:580 | res | N/A ⚠️ DUPLICATE
DELETE | /tenant-departments/:tenantId/:departmentId | \backend\src\modules\auth\routes\sessions.js:675 | res | N/A ⚠️ DUPLICATE
GET    | /test | \backend\src\modules\auth\routes\tenantAuth.js:15 | res | N/A ⚠️ DUPLICATE
POST   | /debug-tenant | \backend\src\modules\auth\routes\tenantAuth.js:21 | res | N/A 
POST   | /logout | \backend\src\modules\auth\routes\tenantAuth.js:324 | res | N/A ⚠️ DUPLICATE
GET    | /profile | \backend\src\modules\auth\routes\tenantAuth.js:376 | res | N/A 
GET    | /profile | \backend\src\modules\auth\routes\users.js:82 | res | N/A ⚠️ DUPLICATE
GET    | /:id | \backend\src\modules\auth\routes\users.js:151 | res | N/A 
DELETE | /:id | \backend\src\modules\auth\routes\users.js:271 | res | N/A 
GET    | /:id/teams | \backend\src\modules\auth\routes\users.js:303 | res | N/A 
GET    | /api/auth/me | \backend\src\modules\auth\__tests__\critical-workflow-access.integration.test.js:8 | res | N/A 
GET    | /api/auth/me | \backend\src\modules\auth\__tests__\critical-workflow-access.integration.test.js:33 | res | N/A ⚠️ DUPLICATE
GET    | /api/projects/:projectId/members | \backend\src\modules\auth\__tests__\critical-workflow-access.integration.test.js:44 | res | N/A 
GET    | /api/auth/me | \backend\src\modules\auth\__tests__\role-aware-workflows.integration.test.js:17 | res | N/A ⚠️ DUPLICATE
POST   | /api/tenant/:tenantSlug/organization/hr/payroll/:id/approve | \backend\src\modules\auth\__tests__\role-aware-workflows.integration.test.js:26 | res | N/A 
GET    | /api/projects/:projectId/members | \backend\src\modules\auth\__tests__\role-aware-workflows.integration.test.js:36 | res | N/A ⚠️ DUPLICATE
GET    | /api/auth/me | \backend\src\modules\auth\__tests__\route-level-critical-workflows.integration.test.js:8 | res | N/A ⚠️ DUPLICATE
GET    | / | \backend\src\modules\business\erp\software-house\roles.js:10 | res | N/A ⚠️ DUPLICATE
GET    | /:id | \backend\src\modules\business\erp\software-house\roles.js:37 | res | N/A ⚠️ DUPLICATE
POST   | / | \backend\src\modules\business\erp\software-house\roles.js:57 | res | N/A 
PUT    | /:id | \backend\src\modules\business\erp\software-house\roles.js:103 | res | N/A 
DELETE | /:id | \backend\src\modules\business\erp\software-house\roles.js:135 | res | N/A ⚠️ DUPLICATE
POST   | /:id/assign | \backend\src\modules\business\erp\software-house\roles.js:170 | res | N/A 
DELETE | /:id/assign/:userId | \backend\src\modules\business\erp\software-house\roles.js:221 | res | N/A 
GET    | /:id/users | \backend\src\modules\business\erp\software-house\roles.js:251 | res | N/A 
GET    | /today | \backend\src\modules\business\routes\attendance.js:209 | res | N/A 
GET    | /admin/realtime | \backend\src\modules\business\routes\attendance.js:698 | res | N/A 
GET    | /admin/trending-metrics | \backend\src\modules\business\routes\attendance.js:745 | res | N/A 
GET    | /admin/insights | \backend\src\modules\business\routes\attendance.js:839 | res | N/A 
GET    | /admin/simple/records | \backend\src\modules\business\routes\attendance.js:1786 | res | N/A 
GET    | /employee | \backend\src\modules\business\routes\attendance.js:1803 | res | N/A 
GET    | /employee/today | \backend\src\modules\business\routes\attendance.js:1813 | res | N/A 
POST   | /check-in | \backend\src\modules\business\routes\attendance.js:1821 | res | N/A 
POST   | /check-out | \backend\src\modules\business\routes\attendance.js:1838 | res | N/A 
GET    | /employee/stats/weekly | \backend\src\modules\business\routes\attendance.js:1853 | res | N/A 
GET    | /employee/stats/monthly | \backend\src\modules\business\routes\attendance.js:1862 | res | N/A 
GET    | /usage | \backend\src\modules\business\routes\billing.js:20 | res | N/A 
GET    | /project/:projectId | \backend\src\modules\business\routes\boards.js:22 | res | N/A 
GET    | /:boardId | \backend\src\modules\business\routes\boards.js:94 | res | N/A 
POST   | / | \backend\src\modules\business\routes\boards.js:157 | res | N/A ⚠️ DUPLICATE
PATCH  | /:boardId | \backend\src\modules\business\routes\boards.js:260 | res | N/A 
DELETE | /:boardId | \backend\src\modules\business\routes\boards.js:321 | res | N/A 
GET    | / | \backend\src\modules\business\routes\cards.js:25 | res | N/A ⚠️ DUPLICATE
GET    | /list/:listId | \backend\src\modules\business\routes\cards.js:75 | res | N/A 
GET    | /:cardId | \backend\src\modules\business\routes\cards.js:122 | res | N/A 
POST   | / | \backend\src\modules\business\routes\cards.js:189 | res | N/A ⚠️ DUPLICATE
PATCH  | /:cardId | \backend\src\modules\business\routes\cards.js:295 | res | N/A 
POST   | /:cardId/comments | \backend\src\modules\business\routes\cards.js:394 | res | N/A 
PATCH  | /:cardId/complete | \backend\src\modules\business\routes\cards.js:478 | res | N/A 
DELETE | /:cardId | \backend\src\modules\business\routes\cards.js:556 | res | N/A 
GET    | /projects | \backend\src\modules\business\routes\clientPortal.js:137 | res | N/A ⚠️ DUPLICATE
GET    | /projects/:projectId | \backend\src\modules\business\routes\clientPortal.js:181 | res | N/A 
GET    | /projects/:projectId/deliverables | \backend\src\modules\business\routes\clientPortal.js:226 | res | N/A 
POST   | /cards/:cardId/approve | \backend\src\modules\business\routes\clientPortal.js:256 | res | N/A 
GET    | /projects/:projectId/timeline | \backend\src\modules\business\routes\clientPortal.js:312 | res | N/A 
GET    | /projects/:projectId/timesheets/summary | \backend\src\modules\business\routes\clientPortal.js:350 | res | N/A 
GET    | /projects/:projectId/invoices | \backend\src\modules\business\routes\clientPortal.js:429 | res | N/A 
GET    | /projects/:projectId/documents | \backend\src\modules\business\routes\clientPortal.js:475 | res | N/A 
GET    | /contact | \backend\src\modules\business\routes\clientPortal.js:521 | res | N/A 
POST   | /cards/:cardId/comments | \backend\src\modules\business\routes\clientPortal.js:553 | res | N/A 
GET    | / | \backend\src\modules\business\routes\clients.js:16 | res | N/A ⚠️ DUPLICATE
GET    | /:clientId | \backend\src\modules\business\routes\clients.js:44 | res | N/A 
POST   | / | \backend\src\modules\business\routes\clients.js:79 | res | N/A ⚠️ DUPLICATE
PATCH  | /:clientId | \backend\src\modules\business\routes\clients.js:148 | res | N/A 
DELETE | /:clientId | \backend\src\modules\business\routes\clients.js:184 | res | N/A 
GET    | /:clientId/portal | \backend\src\modules\business\routes\clients.js:228 | res | N/A 
GET    | /project/:projectId | \backend\src\modules\business\routes\developmentMetrics.js:15 | res | N/A ⚠️ DUPLICATE
GET    | /organization | \backend\src\modules\business\routes\developmentMetrics.js:33 | res | N/A 
GET    | /tenant/:tenantId | \backend\src\modules\business\routes\developmentMetrics.js:51 | res | N/A 
